NOMBRE;NUMEROCAMISETA;POSICION;NACIONALIDAD;EDAD;NOMBREEQUIPO;PIERNAHABIL;ALTURA;GOLES;PARTIDOSJUGADOS;ASISTENCIAS;REGATES;PORTERIASACERO;PARADAS;GOLESENCAJADOS;VALORDEMERCADO
Álvaro García;18;DELANTERO;España;32;Rayo Vallecano;IZQUIERDA;168;5;35;4;40;0;0;0;4.0
Radamel Falcao;3;DELANTERO;Colombia;38;Rayo Vallecano;DERECHA;177;1;10;0;1;0;0;0;0.8
Abdul Mumin;16;DEFENSA;Ghana;26;Rayo Vallecano;DERECHA;190;0;15;0;3;0;0;0;2.0
Bebé;10;DELANTERO;Cabo Verde;34;Rayo Vallecano;DERECHA;190;2;15;1;15;0;0;0;1.0
Pathé Ciss;21;CENTROCAMPISTA;Senegal;30;Rayo Vallecano;DERECHA;184;1;25;1;5;0;0;0;3.0
Pep Chavarría;19;DEFENSA;España;26;Rayo Vallecano;IZQUIERDA;178;0;15;1;5;0;0;0;2.0
Randy Nteka;23;DELANTERO;Francia;27;Rayo Vallecano;DERECHA;190;2;20;1;5;0;0;0;2.0
Óscar Trejo;5;CENTROCAMPISTA;Argentina;36;Rayo Vallecano;DERECHA;178;1;20;3;15;0;0;0;1.0
Predrag Rajković;1;PORTERO;Serbia;29;RCD Mallorca;DERECHA;192;0;38;0;0;11;115;50;6.0
Martin Valjent;24;DEFENSA;Eslovaquia;29;RCD Mallorca;DERECHA;187;0;35;0;5;0;0;0;3.0
Manu Morlanes;20;CENTROCAMPISTA;España;27;RCD Mallorca;DERECHA;178;1;30;2;10;0;0;0;4.0
Vedat Muriqi;7;DELANTERO;Kosovo;30;RCD Mallorca;IZQUIERDA;194;12;35;4;5;0;0;0;10.0
Pablo Maffeo;15;DEFENSA;España;27;RCD Mallorca;DERECHA;174;1;30;4;20;0;0;0;8.0
Dominik Greif;13;PORTERO;Eslovaquia;27;RCD Mallorca;IZQUIERDA;190;0;5;0;0;1;15;5;1.0
Antonio Raíllo;2;DEFENSA;España;33;RCD Mallorca;IZQUIERDA;186;2;25;0;3;0;0;0;3.0
Dani Rodríguez;14;CENTROCAMPISTA;España;36;RCD Mallorca;DERECHA;178;3;35;5;15;0;0;0;2.0
Abdon Prats;9;DELANTERO;España;32;RCD Mallorca;DERECHA;180;5;25;1;5;0;0;0;2.0
Cyle Larin;17;DELANTERO;Canadá;29;RCD Mallorca;DERECHA;188;3;15;1;5;0;0;0;3.0
Omar Mascarell;8;CENTROCAMPISTA;España;31;RCD Mallorca;DERECHA;180;0;30;1;5;0;0;0;3.0
Giovanni González;18;DEFENSA;Uruguay;30;RCD Mallorca;DERECHA;173;0;25;2;10;0;0;0;3.0
Sergi Darder;10;CENTROCAMPISTA;España;31;RCD Mallorca;DERECHA;176;2;30;4;20;0;0;0;5.0
Amath Ndiaye;21;DELANTERO;Senegal;28;RCD Mallorca;DERECHA;175;1;20;1;10;0;0;0;2.0
Jaume Costa;24;DEFENSA;España;36;RCD Mallorca;IZQUIERDA;171;0;20;2;5;0;0;0;0.8
Nemanja Radonjić;23;DELANTERO;Serbia;28;RCD Mallorca;DERECHA;185;1;10;1;10;0;0;0;2.0
Javier Llabrés;11;CENTROCAMPISTA;España;24;RCD Mallorca;IZQUIERDA;173;1;15;0;5;0;0;0;1.0
Copete;6;DEFENSA;España;25;RCD Mallorca;IZQUIERDA;186;1;20;0;3;0;0;0;2.0
Tino Kadewere;16;DELANTERO;Zimbabue;28;RCD Mallorca;DERECHA;185;0;5;0;2;0;0;0;1.0
Toni Lato;3;DEFENSA;España;27;RCD Mallorca;IZQUIERDA;175;0;25;2;10;0;0;0;3.0
Sergio Herrera;1;PORTERO;España;31;CA Osasuna;DERECHA;191;0;38;0;0;13;108;45;6.0
David García;5;DEFENSA;España;30;CA Osasuna;DERECHA;185;1;35;0;5;0;0;0;8.0
Jon Moncayola;10;CENTROCAMPISTA;España;26;CA Osasuna;DERECHA;180;3;35;4;20;0;0;0;12.0
Ante Budimir;17;DELANTERO;Croacia;33;CA Osasuna;DERECHA;190;16;38;2;5;0;0;0;8.0
Juan Cruz;3;DEFENSA;España;34;CA Osasuna;IZQUIERDA;180;0;25;1;5;0;0;0;2.0
Aitor Fernández;25;PORTERO;España;33;CA Osasuna;DERECHA;185;0;5;0;0;1;15;5;1.0
Unai García;4;DEFENSA;España;32;CA Osasuna;DERECHA;182;1;20;0;3;0;0;0;2.0
Lucas Torró;6;CENTROCAMPISTA;España;30;CA Osasuna;DERECHA;190;0;30;1;5;0;0;0;6.0
Chimy Ávila;9;DELANTERO;Argentina;30;CA Osasuna;DERECHA;171;6;20;1;15;0;0;0;8.0
Rubén García;14;DELANTERO;España;31;CA Osasuna;IZQUIERDA;171;2;25;3;20;0;0;0;3.0
Moi Gómez;23;CENTROCAMPISTA;España;30;CA Osasuna;IZQUIERDA;167;1;30;5;25;0;0;0;5.0
Jesús Areso;2;DEFENSA;España;25;CA Osasuna;DERECHA;181;0;25;2;10;0;0;0;4.0
Pablo Ibáñez;22;CENTROCAMPISTA;España;26;CA Osasuna;DERECHA;185;1;20;2;10;0;0;0;4.0
Kike Barja;7;DELANTERO;España;27;CA Osasuna;DERECHA;179;1;15;1;10;0;0;0;2.0
Johan Mojica;11;DEFENSA;Colombia;32;CA Osasuna;IZQUIERDA;177;0;18;2;15;0;0;0;3.0
Raúl García;18;DELANTERO;España;24;CA Osasuna;DERECHA;188;5;30;1;5;0;0;0;6.0
Darko Brašanac;8;CENTROCAMPISTA;Serbia;32;CA Osasuna;DERECHA;185;1;15;0;3;0;0;0;2.0
Rubén Peña;15;DEFENSA;España;33;CA Osasuna;DERECHA;176;0;20;2;10;0;0;0;2.0
José Arnaiz;20;DELANTERO;España;29;CA Osasuna;DERECHA;174;2;20;1;10;0;0;0;3.0
Aimar Oroz;21;CENTROCAMPISTA;España;23;CA Osasuna;DERECHA;178;3;30;3;20;0;0;0;10.0
Vicente Guaita;13;PORTERO;España;37;Celta de Vigo;DERECHA;190;0;30;0;0;8;95;40;1.0
Unai Núñez;4;DEFENSA;España;27;Celta de Vigo;DERECHA;185;1;35;0;5;0;0;0;6.0
Fran Beltrán;8;CENTROCAMPISTA;España;25;Celta de Vigo;DERECHA;167;2;30;3;15;0;0;0;10.0
Iago Aspas;10;DELANTERO;España;37;Celta de Vigo;IZQUIERDA;176;10;38;9;40;0;0;0;5.0
Óscar Mingueza;3;DEFENSA;España;25;Celta de Vigo;DERECHA;184;2;30;4;20;0;0;0;8.0
Iván Villar;25;PORTERO;España;27;Celta de Vigo;DERECHA;185;0;8;0;0;2;20;10;2.0
Carl Starfelt;15;DEFENSA;Suecia;29;Celta de Vigo;DERECHA;187;0;25;0;3;0;0;0;4.0
Renato Tapia;14;CENTROCAMPISTA;Perú;29;Celta de Vigo;DERECHA;178;0;20;1;5;0;0;0;4.0
Jørgen Strand Larsen;18;DELANTERO;Noruega;24;Celta de Vigo;DERECHA;193;8;35;2;10;0;0;0;15.0
Anastasios Douvikas;17;DELANTERO;Grecia;25;Celta de Vigo;DERECHA;180;4;20;1;5;0;0;0;5.0
Luca de la Torre;23;CENTROCAMPISTA;EE. UU.;26;Celta de Vigo;DERECHA;175;1;25;3;20;0;0;0;4.0
Joseph Aidoo;2;DEFENSA;Ghana;29;Celta de Vigo;DERECHA;180;0;15;0;3;0;0;0;3.0
Williot Swedberg;19;CENTROCAMPISTA;Suecia;20;Celta de Vigo;IZQUIERDA;185;1;15;1;10;0;0;0;4.0
Carles Pérez;7;DELANTERO;España;26;Celta de Vigo;DERECHA;173;2;25;3;25;0;0;0;5.0
Manu Sánchez;21;DEFENSA;España;24;Celta de Vigo;IZQUIERDA;174;0;20;2;15;0;0;0;4.0
Tadeo Allende;22;DELANTERO;Argentina;25;Celta de Vigo;DERECHA;177;1;10;0;5;0;0;0;3.0
Hugo Sotelo;32;CENTROCAMPISTA;España;21;Celta de Vigo;DERECHA;178;0;10;1;5;0;0;0;2.0
Kevin Vázquez;6;DEFENSA;España;31;Celta de Vigo;DERECHA;174;0;15;1;3;0;0;0;1.0
Cervi;11;DELANTERO;Argentina;30;Celta de Vigo;IZQUIERDA;172;1;20;2;15;0;0;0;3.0
Mihailo Ristić;11;DEFENSA;Serbia;29;Celta de Vigo;IZQUIERDA;180;0;10;1;5;0;0;0;2.0
Paulo Gazzaniga;1;PORTERO;Argentina;32;Girona FC;DERECHA;196;0;38;0;0;15;105;40;5.0
Daley Blind;17;DEFENSA;Países Bajos;34;Girona FC;IZQUIERDA;180;1;30;3;10;0;0;0;4.0
Aleix García;21;CENTROCAMPISTA;España;27;Girona FC;DERECHA;173;3;38;8;35;0;0;0;25.0
Artem Dovbyk;9;DELANTERO;Ucrania;27;Girona FC;IZQUIERDA;189;24;36;7;10;0;0;0;35.0
Eric García;24;DEFENSA;España;23;Girona FC;DERECHA;183;1;30;0;5;0;0;0;20.0
Juan Carlos;25;PORTERO;España;36;Girona FC;DERECHA;188;0;3;0;0;0;5;5;0.5
Arnau Martínez;20;DEFENSA;España;21;Girona FC;DERECHA;182;0;30;4;20;0;0;0;20.0
Yangel Herrera;24;CENTROCAMPISTA;Venezuela;26;Girona FC;DERECHA;183;5;25;2;15;0;0;0;18.0
Portu;11;DELANTERO;España;32;Girona FC;DERECHA;177;4;30;5;25;0;0;0;3.0
Viktor Tsygankov;7;DELANTERO;Ucrania;27;Girona FC;IZQUIERDA;178;6;30;8;40;0;0;0;25.0
Iván Martín;23;CENTROCAMPISTA;España;25;Girona FC;DERECHA;180;4;35;5;30;0;0;0;15.0
Juanpe;5;DEFENSA;España;33;Girona FC;DERECHA;187;1;20;0;3;0;0;0;2.0
David López;4;CENTROCAMPISTA;España;35;Girona FC;DERECHA;184;0;20;1;5;0;0;0;2.0
Savinho;16;DELANTERO;Brasil;20;Girona FC;DERECHA;179;9;35;10;80;0;0;0;40.0
Miguel Gutiérrez;3;DEFENSA;España;23;Girona FC;IZQUIERDA;180;2;30;7;40;0;0;0;30.0
Valery Fernández;19;DELANTERO;España;25;Girona FC;IZQUIERDA;175;1;15;1;10;0;0;0;3.0
Ricard Artero;36;CENTROCAMPISTA;España;21;Girona CF;DERECHA;180;0;5;0;2;0;0;0;1.0
Bernardo Espinosa;2;DEFENSA;Colombia;35;Girona CF;DERECHA;192;1;10;0;1;0;0;0;0.8
Cristhian Stuani;7;DELANTERO;Uruguay;38;Girona CF;DERECHA;186;5;20;0;3;0;0;0;1.0
Pablo Torre;18;CENTROCAMPISTA;España;21;Girona CF;DERECHA;173;0;15;2;10;0;0;0;5.0
Edgar Badía;13;PORTERO;España;32;Elche CF;IZQUIERDA;181;0;30;0;0;8;85;40;1.5
Pedro Bigas;5;DEFENSA;España;34;Elche CF;IZQUIERDA;181;1;25;0;3;0;0;0;1.0
Fidel;11;CENTROCAMPISTA;España;35;Elche CF;IZQUIERDA;173;3;30;5;20;0;0;0;1.0
Lucas Boyé;9;DELANTERO;Argentina;28;Elche CF;DERECHA;185;10;30;3;15;0;0;0;5.0
Carlos Clerc;3;DEFENSA;España;32;Elche CF;IZQUIERDA;180;0;25;2;10;0;0;0;1.0
Miguel San Román;1;PORTERO;España;27;Elche CF;DERECHA;187;0;8;0;0;2;15;10;0.5
Gonzalo Verdú;6;DEFENSA;España;36;Elche CF;DERECHA;182;1;20;0;2;0;0;0;0.8
Omar Mascarell;4;CENTROCAMPISTA;España;31;Elche CF;DERECHA;180;0;25;1;5;0;0;0;1.0
Pere Milla;21;DELANTERO;España;32;Elche CF;DERECHA;181;5;30;2;10;0;0;0;2.0
Ezequiel Ponce;16;DELANTERO;Argentina;27;Elche CF;DERECHA;180;3;15;1;5;0;0;0;1.0
Gerard Gumbau;8;CENTROCAMPISTA;España;30;Elche CF;DERECHA;188;2;30;4;15;0;0;0;1.0
Enzo Roco;24;DEFENSA;Chile;32;Elche CF;DERECHA;191;1;15;0;2;0;0;0;0.8
Josan Ferrández;17;CENTROCAMPISTA;España;35;Elche CF;DERECHA;178;1;20;2;10;0;0;0;0.5
Randy Nteka;18;DELANTERO;Francia;27;Elche CF;DERECHA;190;2;15;1;5;0;0;0;1.0
Helibelton Palacios;2;DEFENSA;Colombia;31;Elche CF;DERECHA;180;0;20;1;5;0;0;0;0.8
Tete Morente;14;DELANTERO;España;28;Elche CF;DERECHA;184;3;25;2;15;0;0;0;1.0
Raúl Guti;20;CENTROCAMPISTA;España;28;Elche CF;DERECHA;183;0;15;1;5;0;0;0;1.0
Lisandro Magallán;23;DEFENSA;Argentina;31;Elche CF;DERECHA;185;0;10;0;2;0;0;0;0.8
Álex Collado;7;DELANTERO;España;25;Elche CF;IZQUIERDA;178;1;10;1;10;0;0;0;1.0
Nico Fernández;22;CENTROCAMPISTA;Argentina;24;Elche CF;DERECHA;181;0;5;0;2;0;0;0;0.5
Antonio Sivera;1;PORTERO;España;28;Deportivo Alavés;DERECHA;184;0;38;0;0;12;100;45;3.0
Rubén Duarte;3;DEFENSA;España;28;Deportivo Alavés;IZQUIERDA;180;1;35;3;15;0;0;0;4.0
Ander Guevara;6;CENTROCAMPISTA;España;27;Deportivo Alavés;DERECHA;180;1;30;2;10;0;0;0;4.0
Samu Omorodion;32;DELANTERO;España;20;Deportivo Alavés;DERECHA;193;8;30;1;5;0;0;0;20.0
Abdel Abqar;5;DEFENSA;Marruecos;25;Deportivo Alavés;DERECHA;188;1;25;0;3;0;0;0;3.0
Jesús Owono;13;PORTERO;Guinea Ecuatorial;24;Deportivo Alavés;DERECHA;185;0;5;0;0;1;10;5;1.0
Aleksandar Sedlar;4;DEFENSA;Serbia;33;Deportivo Alavés;IZQUIERDA;188;0;15;0;2;0;0;0;1.0
Jon Guridi;18;CENTROCAMPISTA;España;29;Deportivo Alavés;DERECHA;175;3;30;4;20;0;0;0;4.0
Kike García;15;DELANTERO;España;35;Deportivo Alavés;DERECHA;186;5;30;1;5;0;0;0;1.0
Luis Rioja;11;DELANTERO;España;31;Deportivo Alavés;IZQUIERDA;176;5;35;5;30;0;0;0;4.0
Carlos Benavídez;8;CENTROCAMPISTA;Uruguay;28;Deportivo Alavés;DERECHA;178;1;20;1;5;0;0;0;2.0
Rafa Marín;16;DEFENSA;España;22;Deportivo Alavés;DERECHA;191;0;25;0;3;0;0;0;4.0
Antonio Blanco;23;CENTROCAMPISTA;España;24;Deportivo Alavés;DERECHA;186;0;25;2;10;0;0;0;5.0
Ianis Hagi;7;DELANTERO;Rumanía;26;Deportivo Alavés;IZQUIERDA;177;1;15;2;15;0;0;0;3.0
Andoni Gorosabel;22;DEFENSA;España;32;Deportivo Alavés;DERECHA;172;0;25;2;10;0;0;0;2.0
Giuliano Simeone;17;DELANTERO;Argentina;22;Deportivo Alavés;DERECHA;173;2;15;1;10;0;0;0;3.0
Tomás Mendes;26;CENTROCAMPISTA;España;21;Deportivo Alavés;DERECHA;183;0;10;0;3;0;0;0;1.0
Javi López;21;DEFENSA;España;22;Deportivo Alavés;IZQUIERDA;178;0;15;1;5;0;0;0;2.0
Nahuel Tenaglia;20;DEFENSA;Argentina;28;Deportivo Alavés;DERECHA;180;0;20;1;5;0;0;0;2.0
Xeber Alkain;14;DELANTERO;España;27;Deportivo Alavés;DERECHA;176;1;15;1;5;0;0;0;2.0
Quentin Braat;13;PORTERO;Francia;27;Real Oviedo;DERECHA;188;0;35;0;0;10;100;35;1.5
Dani Calvo;4;DEFENSA;España;30;Real Oviedo;IZQUIERDA;185;1;30;0;5;0;0;0;1.0
Santi Cazorla;8;CENTROCAMPISTA;España;39;Real Oviedo;AMBIDIESTRO;168;1;20;3;15;0;0;0;0.5
Borja Bastón;9;DELANTERO;España;32;Real Oviedo;DERECHA;186;15;38;3;5;0;0;0;1.5
David Costas;5;DEFENSA;España;29;Real Oviedo;DERECHA;186;0;30;0;3;0;0;0;1.0
Leo Román;1;PORTERO;España;24;Real Oviedo;DERECHA;188;0;5;0;0;1;10;5;0.8
Carlos Pomares;3;DEFENSA;España;31;Real Oviedo;IZQUIERDA;178;0;25;2;10;0;0;0;0.5
Jimmy Suárez;6;CENTROCAMPISTA;España;29;Real Oviedo;DERECHA;176;0;25;1;5;0;0;0;0.8
Jaime Seoane;10;DELANTERO;España;27;Real Oviedo;DERECHA;178;5;30;4;20;0;0;0;1.0
Sebas Moyano;17;DELANTERO;España;27;Real Oviedo;DERECHA;175;3;25;2;15;0;0;0;1.0
Luismi Sánchez;21;CENTROCAMPISTA;España;32;Real Oviedo;DERECHA;180;1;20;1;5;0;0;0;0.8
Oier Luengo;2;DEFENSA;España;30;Real Oviedo;DERECHA;182;0;20;0;3;0;0;0;0.5
Viti Rozada;7;CENTROCAMPISTA;España;27;Real Oviedo;DERECHA;173;2;30;5;25;0;0;0;1.0
Paulino de la Fuente;11;DELANTERO;España;27;Real Oviedo;DERECHA;177;4;25;3;15;0;0;0;1.0
Abel Bretones;15;DEFENSA;España;24;Real Oviedo;IZQUIERDA;178;1;20;2;10;0;0;0;1.0
Alemão;19;DELANTERO;Brasil;26;Real Oviedo;DERECHA;180;3;15;1;5;0;0;0;0.8
Álex Cardero;28;CENTROCAMPISTA;España;21;Real Oviedo;DERECHA;175;0;10;1;5;0;0;0;0.5
Mario Hernández;18;DEFENSA;España;25;Real Oviedo;DERECHA;174;0;15;1;5;0;0;0;0.5
Dubasin;22;DELANTERO;Bélgica;24;Real Oviedo;DERECHA;180;2;15;1;10;0;0;0;0.8
Camarasa;14;CENTROCAMPISTA;España;30;Real Oviedo;DERECHA;186;0;10;0;3;0;0;0;0.5
Joan Femenías;1;PORTERO;España;28;Levante UD;DERECHA;187;0;30;0;0;12;90;30;1.0
Postigo;6;DEFENSA;España;36;Levante UD;DERECHA;188;1;25;0;2;0;0;0;0.8
Pablo Martínez;8;CENTROCAMPISTA;España;27;Levante UD;DERECHA;180;3;35;5;20;0;0;0;2.0
Dani Gómez;9;DELANTERO;España;26;Levante UD;DERECHA;178;10;35;4;15;0;0;0;2.5
Álex Muñoz;15;DEFENSA;España;30;Levante UD;IZQUIERDA;185;0;30;1;5;0;0;0;1.5
Andrés Fernández;13;PORTERO;España;37;Levante UD;DERECHA;186;0;10;0;0;2;25;10;0.5
Rober Pier;4;DEFENSA;España;29;Levante UD;DERECHA;184;1;25;0;3;0;0;0;1.0
José Campaña;10;CENTROCAMPISTA;España;31;Levante UD;DERECHA;178;1;20;4;20;0;0;0;1.5
Mohamed Bouldini;17;DELANTERO;Marruecos;29;Levante UD;DERECHA;185;5;25;1;5;0;0;0;1.5
Roger Brugué;7;DELANTERO;España;28;Levante UD;DERECHA;180;3;20;2;10;0;0;0;1.0
Oriol Rey;20;CENTROCAMPISTA;España;26;Levante UD;DERECHA;180;0;30;1;5;0;0;0;1.0
Rubén Vezo;3;DEFENSA;Portugal;30;Levante UD;DERECHA;184;1;20;0;3;0;0;0;1.5
Giorgi Kochorashvili;26;CENTROCAMPISTA;Georgia;25;Levante UD;DERECHA;180;1;20;1;10;0;0;0;1.0
Cantero;11;DELANTERO;España;25;Levante UD;DERECHA;175;4;25;3;20;0;0;0;1.5
Sergio Postigo;6;DEFENSA;España;36;Levante UD;DERECHA;188;1;25;0;2;0;0;0;0.8
Iván Romero;22;DELANTERO;España;23;Levante UD;DERECHA;185;2;15;1;5;0;0;0;1.0
Nikola Vukčević;5;CENTROCAMPISTA;Montenegro;33;Levante UD;DERECHA;189;0;15;0;3;0;0;0;0.5
Álvaro Jiménez;23;DEFENSA;España;29;Levante UD;DERECHA;179;0;15;2;10;0;0;0;0.8
Andrés García;28;DELANTERO;España;22;Levante UD;DERECHA;176;2;20;2;15;0;0;0;1.0
Álex Valle;21;DEFENSA;España;20;Levante UD;IZQUIERDA;180;0;10;1;5;0;0;0;0.8
André Onana;24;PORTERO;Camerún;28;Manchester United;DERECHA;190;0;38;0;0;11;120;55;40.0
Raphaël Varane;19;DEFENSA;Francia;31;Manchester United;DERECHA;191;0;25;1;5;0;0;0;30.0
Bruno Fernandes;8;CENTROCAMPISTA;Portugal;30;Manchester United;DERECHA;179;10;45;15;60;0;0;0;70.0
Marcus Rashford;10;DELANTERO;Inglaterra;27;Manchester United;DERECHA;185;18;40;8;80;0;0;0;65.0
Lisandro Martínez;6;DEFENSA;Argentina;26;Manchester United;IZQUIERDA;175;1;25;0;5;0;0;0;45.0
Altay Bayindir;1;PORTERO;Turquía;26;Manchester United;DERECHA;198;0;5;0;0;1;15;5;10.0
Diogo Dalot;20;DEFENSA;Portugal;25;Manchester United;DERECHA;184;2;38;5;40;0;0;0;35.0
Casemiro;18;CENTROCAMPISTA;Brasil;32;Manchester United;DERECHA;185;3;30;2;10;0;0;0;30.0
Rasmus Højlund;11;DELANTERO;Dinamarca;21;Manchester United;IZQUIERDA;191;12;35;3;15;0;0;0;60.0
Antony;21;DELANTERO;Brasil;24;Manchester United;IZQUIERDA;179;4;30;4;70;0;0;0;25.0
Scott McTominay;39;CENTROCAMPISTA;Escocia;28;Manchester United;DERECHA;193;7;35;1;10;0;0;0;30.0
Harry Maguire;5;DEFENSA;Inglaterra;31;Manchester United;DERECHA;194;1;20;0;3;0;0;0;20.0
Mason Mount;7;CENTROCAMPISTA;Inglaterra;25;Manchester United;DERECHA;178;1;15;2;20;0;0;0;35.0
Alejandro Garnacho;17;DELANTERO;Argentina;20;Manchester United;DERECHA;180;5;35;6;75;0;0;0;45.0
Luke Shaw;23;DEFENSA;Inglaterra;29;Manchester United;IZQUIERDA;185;0;20;3;20;0;0;0;28.0
Jadon Sancho;25;DELANTERO;Inglaterra;24;Manchester United;DERECHA;180;3;10;2;25;0;0;0;20.0
Sofyan Amrabat;4;CENTROCAMPISTA;Marruecos;28;Manchester United;DERECHA;183;0;25;1;5;0;0;0;20.0
Aaron Wan-Bissaka;29;DEFENSA;Inglaterra;26;Manchester United;DERECHA;178;0;25;2;15;0;0;0;20.0
Victor Lindelöf;2;DEFENSA;Suecia;30;Manchester United;DERECHA;187;0;15;0;3;0;0;0;15.0
Christian Eriksen;14;CENTROCAMPISTA;Dinamarca;32;Manchester United;DERECHA;176;1;20;5;15;0;0;0;12.0
Ederson;31;PORTERO;Brasil;31;Manchester City;IZQUIERDA;188;0;35;0;0;15;95;25;40.0
Rúben Dias;3;DEFENSA;Portugal;27;Manchester City;DERECHA;186;1;35;1;5;0;0;0;80.0
Rodri;16;CENTROCAMPISTA;España;28;Manchester City;DERECHA;191;8;45;12;30;0;0;0;120.0
Erling Haaland;9;DELANTERO;Noruega;24;Manchester City;DERECHA;195;38;40;6;5;0;0;0;170.0
Kyle Walker;2;DEFENSA;Inglaterra;34;Manchester City;DERECHA;183;0;35;5;20;0;0;0;15.0
Stefan Ortega;18;PORTERO;Alemania;32;Manchester City;DERECHA;185;0;10;0;0;3;25;8;5.0
Manuel Akanji;25;DEFENSA;Suiza;29;Manchester City;DERECHA;187;1;30;2;10;0;0;0;40.0
Bernardo Silva;20;CENTROCAMPISTA;Portugal;30;Manchester City;IZQUIERDA;173;6;40;8;70;0;0;0;80.0
Julián Álvarez;19;DELANTERO;Argentina;24;Manchester City;DERECHA;173;15;42;10;45;0;0;0;70.0
Jack Grealish;10;DELANTERO;Inglaterra;29;Manchester City;IZQUIERDA;180;5;30;7;55;0;0;0;60.0
Kevin De Bruyne;17;CENTROCAMPISTA;Bélgica;33;Manchester City;DERECHA;181;4;25;18;40;0;0;0;50.0
John Stones;5;DEFENSA;Inglaterra;30;Manchester City;DERECHA;188;2;30;3;10;0;0;0;45.0
Mateo Kovačić;8;CENTROCAMPISTA;Croacia;30;Manchester City;DERECHA;177;1;35;3;30;0;0;0;30.0
Phil Foden;47;DELANTERO;Inglaterra;24;Manchester City;IZQUIERDA;171;16;40;10;75;0;0;0;130.0
Joško Gvardiol;24;DEFENSA;Croacia;22;Manchester City;IZQUIERDA;185;2;30;4;20;0;0;0;75.0
Jérémy Doku;11;DELANTERO;Bélgica;22;Manchester City;DERECHA;173;5;25;8;90;0;0;0;65.0
Matheus Nunes;27;CENTROCAMPISTA;Portugal;26;Manchester City;DERECHA;183;1;25;2;25;0;0;0;35.0
Nathan Aké;6;DEFENSA;Países Bajos;29;Manchester City;IZQUIERDA;180;1;30;1;5;0;0;0;30.0
Oscar Bobb;52;DELANTERO;Noruega;22;Manchester City;DERECHA;174;1;10;1;10;0;0;0;10.0
Rico Lewis;82;DEFENSA;Inglaterra;20;Manchester City;DERECHA;169;1;20;2;15;0;0;0;20.0
Alisson Becker;1;PORTERO;Brasil;32;Liverpool FC;DERECHA;191;0;38;1;0;16;115;35;45.0
Virgil van Dijk;4;DEFENSA;Países Bajos;33;Liverpool FC;DERECHA;193;4;35;1;5;0;0;0;35.0
Dominik Szoboszlai;8;CENTROCAMPISTA;Hungría;24;Liverpool FC;DERECHA;186;7;35;8;40;0;0;0;65.0
Mohamed Salah;11;DELANTERO;Egipto;32;Liverpool FC;IZQUIERDA;175;25;38;13;90;0;0;0;90.0
Trent Alexander-Arnold;66;DEFENSA;Inglaterra;26;Liverpool FC;DERECHA;180;3;35;12;50;0;0;0;70.0
Caoimhín Kelleher;62;PORTERO;Irlanda;26;Liverpool FC;DERECHA;188;0;10;0;0;3;30;10;20.0
Andrew Robertson;26;DEFENSA;Escocia;30;Liverpool FC;IZQUIERDA;178;1;30;10;45;0;0;0;35.0
Alexis Mac Allister;10;CENTROCAMPISTA;Argentina;25;Liverpool FC;DERECHA;176;5;38;7;45;0;0;0;70.0
Darwin Núñez;9;DELANTERO;Uruguay;25;Liverpool FC;DERECHA;187;14;35;9;35;0;0;0;70.0
Luis Díaz;7;DELANTERO;Colombia;27;Liverpool FC;IZQUIERDA;178;8;30;5;60;0;0;0;75.0
Wataru Endō;3;CENTROCAMPISTA;Japón;31;Liverpool FC;DERECHA;178;1;30;1;5;0;0;0;15.0
Ibrahima Konaté;5;DEFENSA;Francia;25;Liverpool FC;DERECHA;194;0;28;0;5;0;0;0;45.0
Curtis Jones;17;CENTROCAMPISTA;Inglaterra;23;Liverpool FC;DERECHA;185;3;30;4;30;0;0;0;40.0
Cody Gakpo;18;DELANTERO;Países Bajos;25;Liverpool FC;DERECHA;193;10;35;5;20;0;0;0;45.0
Joe Gomez;2;DEFENSA;Inglaterra;27;Liverpool FC;DERECHA;188;0;30;1;10;0;0;0;25.0
Diogo Jota;20;DELANTERO;Portugal;28;Liverpool FC;DERECHA;178;12;25;4;25;0;0;0;50.0
Harvey Elliott;19;CENTROCAMPISTA;Inglaterra;21;Liverpool FC;IZQUIERDA;170;3;30;6;35;0;0;0;35.0
Kostas Tsimikas;21;DEFENSA;Grecia;28;Liverpool FC;IZQUIERDA;179;0;15;2;15;0;0;0;18.0
Ryan Gravenberch;38;CENTROCAMPISTA;Países Bajos;22;Liverpool FC;DERECHA;190;1;25;2;20;0;0;0;35.0
Jarell Quansah;78;DEFENSA;Inglaterra;21;Liverpool FC;DERECHA;190;0;15;0;5;0;0;0;15.0
Robert Sánchez;1;PORTERO;España;26;Chelsea FC;DERECHA;197;0;25;0;0;6;80;35;25.0
Reece James;24;DEFENSA;Inglaterra;25;Chelsea FC;DERECHA;179;2;20;5;30;0;0;0;50.0
Enzo Fernández;8;CENTROCAMPISTA;Argentina;23;Chelsea FC;DERECHA;178;3;35;8;40;0;0;0;75.0
Nicolas Jackson;15;DELANTERO;Senegal;23;Chelsea FC;DERECHA;186;14;38;4;30;0;0;0;35.0
Thiago Silva;6;DEFENSA;Brasil;40;Chelsea FC;DERECHA;183;1;28;0;5;0;0;0;3.0
Marcus Bettinelli;13;PORTERO;Inglaterra;32;Chelsea FC;DERECHA;194;0;2;0;0;0;0;2;1.0
Axel Disasi;2;DEFENSA;Francia;26;Chelsea FC;DERECHA;190;2;30;0;5;0;0;0;30.0
