cod_opcion,cod_pregunta,opcion,es_correcta
243_2,243,Saint-Étienne,0
243_3,243,Borussia Mönchengladbach,0
243_4,243,Leeds United,0
244_1,244,Argentina,1
244_2,244,Uruguay,0
244_3,244,Chile,0
244_4,244,Brasil,0
245_1,245,Italia,1
245_2,245,Hungría,0
245_3,245,Brasil,0
245_4,245,Suecia,0
246_1,246,España,1
246_2,246,URSS,0
246_3,246,Hungría,0
246_4,246,Dinamarca,0
247_1,247,Waldir Peres,1
247_2,247,Gilmar,0
247_3,247,Leao,0
247_4,247,Taffarel,0
248_1,248,Sudáfrica,1
248_2,248,Túnez,0
248_3,248,Ghana,0
248_4,248,Zambia,0
249_1,249,Ajax,1
249_2,249,Juventus,0
249_3,249,Inter,0
249_4,249,Panathinaikos,0
250_1,250,Francisco Maturana,1
250_2,250,Hernán Darío Gómez,0
250_3,250,José Pekerman,0
250_4,250,Reinaldo Rueda,0
251_1,251,Alemania Federal,1
251_2,251,URSS,0
251_3,251,Bélgica,0
251_4,251,Inglaterra,0
252_1,252,Senegal,1
252_2,252,Costa de Marfil,0
252_3,252,Marruecos,0
252_4,252,Sudáfrica,0
253_1,253,Alemania Federal,1
253_2,253,Hungría,0
253_3,253,Austria,0
253_4,253,Uruguay,0
254_1,254,Garrincha,1
254_2,254,Pelé,0
254_3,254,Amarildo,0
254_4,254,Uwe Seeler,0
255_1,255,Nacional,1
255_2,255,Panathinaikos,0
255_3,255,Ajax,0
255_4,255,Estudiantes,0
256_1,256,Karl-Heinz Rummenigge,1
256_2,256,Bernd Schuster,0
256_3,256,Michel Platini,0
256_4,256,Kevin Keegan,0
257_1,257,Uruguay,1
257_2,257,Argentina,0
257_3,257,Perú,0
257_4,257,Chile,0
258_1,258,Ajax,1
258_2,258,Inter,0
258_3,258,Benfica,0
258_4,258,Celtic,0
259_1,259,Michel Hidalgo,1
259_2,259,Aimé Jacquet,0
259_3,259,Raymond Domenech,0
259_4,259,Roger Lemerre,0
260_1,260,Ghana,1
260_2,260,Uganda,0
260_3,260,Nigeria,0
260_4,260,Túnez,0
261_1,261,KV Mechelen,1
261_2,261,Ajax,0
261_3,261,Anderlecht,0
261_4,261,Atalanta,0
262_1,262,Frank Rijkaard,1
262_2,262,Marco van Basten,0
262_3,262,Ruud Gullit,0
262_4,262,Giovanni van Bronckhorst,0
263_1,263,Brasil,1
263_2,263,España,0
263_3,263,Suecia,0
263_4,263,Inglaterra,0
264_1,264,Liverpool,1
264_2,264,Roma,0
264_3,264,Dundee United,0
264_4,264,Dinamo Bucarest,0
265_1,265,Alberto Suppici,1
265_2,265,Juan Francisco Dombos,0
265_3,265,Francisco Olazar,0
265_4,265,Guillermo Stábile,0
266_1,266,Argentina,1
266_2,266,Brasil,0
266_3,266,Paraguay,0
266_4,266,Uruguay,0
267_1,267,Santos,1
267_2,267,Milan,0
267_3,267,Benfica,0
267_4,267,Boca Juniors,0
268_1,268,Dieter Müller,1
268_2,268,Gerd Müller,0
268_3,268,Dragan Dzajic,0
268_4,268,Antonin Panenka,0
269_1,269,Suecia,1
269_2,269,Suiza,0
269_3,269,Brasil,0
269_4,269,Chile,0
270_1,270,Marruecos,1
270_2,270,Guinea,0
270_3,270,Nigeria,0
270_4,270,Egipto,0
271_1,271,Atlético Nacional,1
271_2,271,Olimpia,0
271_3,271,Peñarol,0
271_4,271,Danubio,0
272_1,272,Richard Moller Nielsen,1
272_2,272,Berti Vogts,0
272_3,272,Rinus Michels,0
272_4,272,Tommy Svensson,0
273_1,273,Denis Law,1
273_2,273,Luis Suárez,0
273_3,273,Eusebio,0
273_4,273,Bobby Charlton,0
274_1,274,Uruguay,1
274_2,274,Argentina,0
274_3,274,Chile,0
274_4,274,Paraguay,0
275_1,275,Nottingham Forest,1
275_2,275,Hamburgo,0
275_3,275,Malmö FF,0
275_4,275,Liverpool,0
276_1,276,Gary Lineker,1
276_2,276,Diego Maradona,0
276_3,276,Careca,0
276_4,276,Emilio Butragueño,0
277_1,277,Checoslovaquia,1
277_2,277,Alemania Federal,0
277_3,277,Holanda,0
277_4,277,Yugoslavia,0
278_1,278,Vélez Sarsfield,1
278_2,278,Milan,0
278_3,278,São Paulo,0
278_4,278,Barcelona,0
279_1,279,Yugoslavia,1
279_2,279,Italia,0
279_3,279,Bélgica,0
279_4,279,Alemania,0
280_1,280,Steaua Bucarest,1
280_2,280,Barcelona,0
280_3,280,Anderlecht,0
280_4,280,Goteborg,0
281_1,281,Sepp Herberger,1
281_2,281,Helmut Schön,0
281_3,281,Gusztáv Sebes,0
281_4,281,Rudolf Illovszky,0
282_1,282,Sudán,1
282_2,282,Ghana,0
282_3,282,Egipto,0
282_4,282,Costa de Marfil,0
283_1,283,Olimpia,1
283_2,283,Boca Juniors,0
283_3,283,Independiente,0
283_4,283,Peñarol,0
284_1,284,Guillermo Stábile,1
284_2,284,Pedro Cea,0
284_3,284,Guillermo Subiabre,0
284_4,284,Luis Monti,0
285_1,285,URSS,1
285_2,285,Yugoslavia,0
285_3,285,España,0
285_4,285,Hungría,0
286_1,286,PSV Eindhoven,1
286_2,286,Benfica,0
286_3,286,Real Madrid,0
286_4,286,Milan,0
287_1,287,Perú,1
287_2,287,Uruguay,0
287_3,287,Paraguay,0
287_4,287,Chile,0
288_1,288,Allan Simonsen,1
288_2,288,Kevin Keegan,0
288_3,288,Michel Platini,0
288_4,288,Johan Cruyff,0
289_1,289,Nigeria,1
289_2,289,Argelia,0
289_3,289,Marruecos,0
289_4,289,Egipto,0
290_1,290,Olimpia,1
290_2,290,Malmö FF,0
290_3,290,Nottingham Forest,0
290_4,290,Nacional,0
291_1,291,Francia,1
291_2,291,España,0
291_3,291,Italia,0
291_4,291,Portugal,0
292_1,292,Perú,1
292_2,292,Colombia,0
292_3,292,Brasil,0
292_4,292,Uruguay,0
293_1,293,Nottingham Forest,1
293_2,293,Malmö FF,0
293_3,293,Liverpool,0
293_4,293,Austria Viena,0
294_1,294,Albert Batteux,1
294_2,294,Just Fontaine,0
294_3,294,Raymond Kopa,0
294_4,294,Jean Vincent,0
295_1,295,Italia,1
295_2,295,Yugoslavia,0
295_3,295,Inglaterra,0
295_4,295,URSS,0
296_1,296,Palmeiras,1
296_2,296,Juventus,0
296_3,296,Vasco da Gama,0
296_4,296,Nice,0
297_1,297,Gerd Müller,1
297_2,297,Jairzinho,0
297_3,297,Pelé,0
297_4,297,Teófilo Cubillas,0
298_1,298,Alemania Federal,1
298_2,298,Bélgica,0
298_3,298,Checoslovaquia,0
298_4,298,Italia,0
299_1,299,Ajax,1
299_2,299,Panathinaikos,0
299_3,299,Everton,0
299_4,299,Feyenoord,0
300_1,300,Alfio Basile,1
300_2,300,Miguel Mejía Barón,0
300_3,300,Xabier Azkargorta,0
300_4,300,Francisco Maturana,0
